Id,KeyPhrases
225, veranda/main door
225, beach towel services
229,No keywords
231,No keywords
235,Nothing
240,price
240, random
240, unlabeled
240, shampoo dispenser
240, shower wall
240, body shampoo
240, hair shampoo
240, nice
240, cheap
240, hotel cost
246,very
246, good
246, location
282,good
425,Noise
425, Week
425, 4 a.m.
425, People
425, Rubbish
425, Large Lorries
435,Size of room
435, space for suitcase
435, wardrobe
435, sitting area
435, terrace Sun hits all time
435, money for better hotels in Valencia
435, small water bottle
441,room
441, cold
441, hotel
441, opened
441, season
441, hard to find
463,fan
463, bathroom
463, window
474,floor not cleaned
474, dust
474, water does not drain
474, floods room
482,Noise
482, neighboring hotels/houses
482, sealing
482, closing window.
483,far from town
483, small room
485,water
485, shower
485, lukewarm
497,access
497, airport
497, bus
497, know
517,Unprofessional
517, slow service
517, poor quality food
520,Nothing
521,air conditioner
521, cool
521, enough
557,Breakfast
557, independent service
557, Cypriot hospitality
557, gastronomy
557, price
557, quality
557, quantity
557, product
577,air conditioning
577, regulation
577, cold
577, heat
590,owners
590, works
590, next door
610,size
610, closet
610, price
610, comfort
610, space
616,shuttle
616, lambda taxi
616, late
616, pay
616, independent of hotel
616, waited
616, other taxis
616, tried to reach everyone
618,Noisy
641,humid air
641, warm
641, air conditioning not working properly
645,Hair dryer
744,not clean
0,Nothing
0, at
0, all
21,Fridge
21, shower
21, cold shower
21, running 5 mins
21, warm shower
21, pizza not great
21, stodgy food
21, restaurant area nice
21, staff accomodating
63,quiet
63, airport
63, noise
63, planes
80,24 hour reception
80, access entry
80, odd hours
91,soundproofed
91, badly
105,hotel staff
105, English
105, fridge
105, freezer
105, diabetes
105, insulin
105, froze
105, unusable
105, flew home
105, holidays
136,Smell
136, bathroom
216,Everything
244,Nothing
244, we
244, can
244, think
244, of
245,location
245, hard to find
245, taxi drivers GPS
245, trouble finding
245, small side street
434,Guesthouse
434, Hotel
434, Priced
489,Nothing
510,cramped
510, third bed
510, child
510, baby
510, minimalist room accessories
597,Noisy
597, Outside
624,Noisy
624, air conditioning
624, night traffic
624, area
748,Behavior
748, reservations
748, breakfast
748, price
748, room
748, refusal
748, unacceptable manner
748, Cypriot language
748, dissatisfaction
35,not showing opening times
232,far from local shop
232, have everything we need
594,Unprofessional
594, rude
594, dismissive
594, condescending
594, unhelpful
749,Frozen water
749, bath
507,positive experience
507, use again
507, next time
78,No keywords
